instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
1,The Smashing Pumpkins,"Tonight, Tonight - Remastered 2012",2s5o6GOB4qtFEzNLddTekz,68,6.28e-05,0.287,254627.0,0.67,0.748,F#,0.237,-9.381,Major,0.0368,148.928,4-Apr,0.222,Children's Music
2,Three Days Grace,Scared,1tNpKFX4YgTN4ZusoC5p79,52,0.000179,0.525,193120.0,0.886,0.0,D,0.0921,-5.328,Major,0.069,118.055,4-Apr,0.389,Children's Music
3,Manhattan School of Music Children's Festival Chorus,Feel Good,56h3v9zaotemQ0NB21dlkg,0,0.99,0.399,199181.0591612581,0.142,2.97e-05,C,0.75,-21.462,Major,0.132,154.34,4-Apr,0.441,Children's Music
4,Nothing But Thieves,Trip Switch,4LQEoFq5xbhuaBVujKsRYS,59,0.0188,0.615,181133.0,0.798,0.0081,A#,0.0995,-4.163,Minor,0.0815,?,4-Apr,0.753,Children's Music
5,empty_field,Dance Club Mix,33QRsLBBdWDYgCZfWEZqR6,0,0.197,0.605,200600.0,0.856,0.563,F,0.0577,-9.358,Major,0.0556,?,4-Apr,0.936,Children's Music
6,Skan,No Glory (feat. M.I.M.E & Drama B),78ksV1AfOBtIOnFuO8qddH,59,0.00725,0.495,199181.0591612581,0.834,4e-05,E,0.126,-4.731,Minor,0.0967,150.049,4-Apr,0.247,Children's Music
7,Jakob Ogawa,You Might Be Sleeping,2BSNjc50XadJ9Vf7PeytE5,58,0.719,0.587,147093.0,0.561,0.342,G,0.168,-9.249,Major,0.0264,92.602,4-Apr,0.511,Children's Music
8,Avenged Sevenfold,Victim,4a92XwkRTBH2oOCbrfPWXK,55,0.00395,0.547,449720.0,0.831,8.08e-06,C,0.12,-5.06,Minor,0.0324,130,4-Apr,0.101,Children's Music
9,Shoffy,Cool Again,3cV6yvwBlRPD24t6Hbk4L0,73,0.443,0.774,191935.0,0.45,3.28e-05,B,0.127,-6.86,Major,0.0896,90.055,4-Apr,0.648,Children's Music
10,Nine Inch Nails,Dead Souls,7Lzn4u1V6HqtsbnBe0o69O,48,0.000885,0.506,293693.0,0.81,0.796,F,0.0892,-8.865,Minor,0.0473,99.313,4-Apr,0.728,Children's Music
11,Kimbo Children's Music,Dancing Dragon,5pNYiMbnXm7UkewX2KhmyK,0,0.754,0.856,199181.0591612581,0.391,0.000364,D,0.051,-12.154,Major,0.0616,128.72,4-Apr,0.679,Children's Music
12,Kimbo Children's Music,Three Blind Mice,5tyznRXlcIx0XlQ7S8iCMW,0,0.888,0.822,40133.0,0.392,3.91e-06,G,0.101,-12.003,Major,0.233,121.839,4-Apr,0.446,Children's Music
13,Children Songs Company,New Year,7vFQliBjsAIfpteEzYOCOS,0,0.359,0.921,194213.0,0.503,2.25e-06,G,0.11,-11.562,Major,0.372,124.38,4-Apr,0.491,Children's Music
14,The Beat Bugs,Sgt. Pepper's Lonely Hearts Club Band,3Erop1JeKCWQhmgdZX5fVX,22,0.17,0.723,155840.0,0.792,0.0,E,0.124,-6.346,Major,0.0242,?,4-Apr,0.839,Children's Music
15,empty_field,"Didn't Leave Nobody But The Baby - From “O Brother, Where Art Thou” Soundtrack",1S4kOXeUfpQYzbOjs1irMI,50,0.955,0.602,117800.0,0.108,0.0,A#,0.115,-16.448,Minor,0.0561,107.78,4-Apr,0.273,Children's Music
16,empty_field,Three Little Ants,0zo4T5c5VV42554ySEc5J6,0,0.191,0.72,95002.0,0.599,0.0,E,0.159,-8.468,Major,0.0383,?,3-Apr,0.854,Children's Music
17,Juice Music,Kookaburra Sits In The Old Gumtree,013IXgOa1zzkXMPDX7hhdC,3,0.138,0.943,126800.0,0.542,0.0,A#,0.411,-9.1,Major,0.0382,?,4-Apr,0.8,Children's Music
18,Passion,Whole Heart - Live,53kW6wmnNhD4iIk8kC2gsO,46,0.0386,0.389,199181.0591612581,0.804,0.0,A,0.202,-3.796,Major,0.0354,78.044,4-Apr,0.191,Children's Music
19,The Wonder Years,Passing Through A Screen Door,6eroUchtL9RwHe4heIhb62,52,0.000517,0.451,199181.0591612581,0.923,2.75e-05,G#,0.648,-5.303,Major,0.103,111.361,4-Apr,0.318,Children's Music
20,empty_field,By the Swanee River,5spGeigzlVivWUKe3inDlR,0,0.995,0.606,263813.0,0.45,0.448,E,0.0666,-3.031,Minor,0.138,101.845,4-Apr,0.73,Children's Music
21,KAYTRANADA,CHANCES,5eQtR62IZ8P8qZM2pSD9Ip,66,0.204,0.835,218200.0,0.527,0.000423,G,0.283,-7.272,Minor,0.128,?,4-Apr,0.611,Children's Music
22,Tom's Music Box,"Intermezzo in Eb, Op. 117, No. 1",3QWref6eXBTcypIrVvFSTX,22,0.785,0.619,72500.0,0.126,0.588,D#,0.141,-9.293,Major,0.0594,86.016,3-Apr,0.435,Children's Music
23,Old Town School of Folk Music,Are You Sleeping?,2lDthrz5QCx33vIHVE4BAh,22,0.832,0.575,99400.0,0.225,0.0,D,0.269,-9.434,Major,0.0307,122.987,3-Apr,0.431,Children's Music
24,NEEDTOBREATHE,MONEY & FAME,0KsdO4fyM9oROmHOT667lN,48,0.0686,0.554,192147.0,0.891,1.47e-05,F#,0.0905,-3.919,Minor,0.0991,154.012,4-Apr,0.454,Children's Music
25,empty_field,Sailors Jig,5rXYqqMDfW1qcKEt0TME9C,0,0.0948,0.892,191600.0,0.686,0.000113,D,0.0557,-9.241,Major,0.032,112.564,4-Apr,0.97,Children's Music
26,empty_field,Classical Connection,1jVbRpLkyN3XdzMWLCiq1g,0,0.000184,0.745,199181.0591612581,0.683,0.88,D,0.0691,-6.757,Major,0.0318,120.01,4-Apr,0.964,Children's Music
27,CLOVES,Don't Forget About Me,44Z5gvO42ILuDqk18YzlAg,66,0.822,0.494,268854.0,0.243,0.00225,F,0.147,-9.083,Minor,0.0316,126.063,4-Apr,0.0722,Children's Music
28,Kimbo Children's Music,A Tune for Tommy (4_4),30jnvpKVugdlmQ2nJd4vTW,0,0.803,0.837,116013.0,0.159,0.835,G#,0.107,-20.481,Major,0.0863,100.097,4-Apr,0.816,Children's Music
29,Music For Little People Choir,Mary Had A Little Lamb,13c90WbHrf6f0piordurr8,13,0.561,0.695,164827.0,0.348,0.0,A,0.0953,-13.628,Major,0.0413,140.111,4-Apr,0.708,Children's Music
30,empty_field,There Was An Old Lady Who Swallowed A Fly,2IqjKEBiz0CdLKdkXhxw84,10,0.921,0.715,116107.0,0.243,1.04e-05,C,0.0916,-15.204,Major,0.771,113.707,3-Apr,0.483,Children's Music
31,TRACES,High and Dry,1TRnYoD4ICAX6FRxcRQ2sM,50,0.572,0.297,199181.0591612581,0.345,3.49e-06,G#,0.0975,-12.503,Major,0.0758,174.477,3-Apr,0.15,Children's Music
32,empty_field,If you are happy and you know it,0RmtUP9oQqhO3WFqB3KrM2,34,0.332,0.92,103982.0,0.525,0.0,G,0.596,-7.222,Major,0.0876,128.176,4-Apr,0.977,Children's Music
33,KALEO,Way Down We Go,4DEOpicfWBGQWUlajOgUcH,76,0.579,0.489,213707.0,0.505,0.000333,A#,0.104,-8.022,Minor,0.117,163.255,4-Apr,0.337,Children's Music
34,The Sugarcubes,Birthday,3df2e434goqmSUp46nCUrL,46,0.0276,0.325,239533.0,0.657,0.000345,C,0.0788,-8.203,Major,0.0422,183.156,4-Apr,0.221,Children's Music
35,empty_field,I'm a Little Teapot,20TfGN3X3b2hP861CVfzci,0,0.414,0.606,89605.0,0.317,0.0,G,0.089,-8.017,Major,0.031,134.869,3-Apr,0.138,Children's Music
36,Children Songs Company,Changes,4hME4EGyUKbLiFozUNiHqk,1,0.000608,0.694,281576.0,0.174,0.634,C#,0.125,-10.502,Major,0.0761,94.054,4-Apr,0.557,Children's Music
37,Lecrae,Say I Won't,5GR1Jj5ahZtoR6WqyM5LP4,51,0.0125,0.813,199181.0591612581,0.683,0.0,D,0.068,-8.518,Major,0.24,127.993,4-Apr,0.742,Children's Music
38,Kimbo Children's Music,Jack and Jill,1wsRitfRRtWyEapl0q22o8,0,0.866,0.851,90160.0,0.228,0.0,A#,0.097,-17.192,Major,0.0792,?,4-Apr,0.77,Children's Music
39,Jakob Ogawa,Up and Away,4FysTP5glT9tWyFPguXCjN,52,0.635,0.518,111253.0,0.322,0.000943,A,0.0961,-10.412,Major,0.0868,94.443,4-Apr,0.392,Children's Music
40,Kimbo Children's Music,Rings & Things (Light 4/4) [Ballet],3CDpd7z8LQwGxWF6f8c93e,0,0.848,0.616,109867.0,0.275,0.721,D,0.076,-13.949,Major,0.0603,168.448,4-Apr,0.825,Children's Music
41,Adrian Marcel,2AM.,0KWcRXcnGoB0gWSu4mshF8,61,0.0523,0.849,199181.0591612581,0.521,0.0,E,0.277,-6.386,Major,0.0662,102.011,4-Apr,0.613,Children's Music
42,Apocalyptica,Not Strong Enough,27iy87clL6mJQh9ybqLNK8,47,0.00171,0.36,215840.0,0.815,0.0,A,0.121,-3.863,Major,0.0465,163.999,4-Apr,0.21,Children's Music
43,empty_field,Pat a Cake for Bedtime,2Zr3tNzX1bKxz9Ih9zpvkq,0,0.865,0.551,120372.0,0.358,0.906,G,0.117,-18.128,Minor,0.052,170.851,3-Apr,1.0,Children's Music
44,empty_field,Promises I Can't Keep,1jpMsR7pZ56267QsvCOhci,38,0.0076,0.617,199181.0591612581,0.648,1.69e-05,G,0.0405,-7.593,Major,0.0301,135.02,4-Apr,0.467,Children's Music
45,Tenacious D,Roadie,3sVFoJDU2ubr3bDRXfbglE,52,0.152,0.684,178547.0,0.535,0.0,A,0.11,-5.789,Major,0.0294,?,4-Apr,0.627,Children's Music
46,empty_field,Bob Marley,69h89lYuCD1jjIUXkssxjd,67,0.0151,0.562,216067.0,0.695,0.119,F#,0.122,-4.662,Major,0.0332,118.174,4-Apr,0.446,Children's Music
47,Barns Courtney,Good Thing,5ff3F1sAXJMUiNygZLYWg6,50,0.0127,0.642,217141.0,0.743,0.0,C#,0.105,-5.459,Major,0.0251,?,4-Apr,0.737,Children's Music
48,Gorillaz,19-2000,1wi4ti9BYUbwoGJ1EBUVtv,54,0.177,0.815,199181.0591612581,0.72,7.31e-06,G,0.16,-7.311,Major,0.0536,89.916,4-Apr,0.946,Children's Music
49,Toddler Tunes,Pancakes for My Mom,23btvMzptFXpD3EGJWamjE,27,0.509,0.67,112931.0,0.269,0.0,D,0.0549,-14.732,Major,0.0753,179.642,4-Apr,0.914,Children's Music
50,The Countdown Kids,Little Shop Of Horrors,2gwkD6igEhQbDQegRCcdoB,0,0.283,0.594,199181.0591612581,0.731,2.42e-06,G,0.0964,-6.154,Major,0.115,?,4-Apr,0.561,Children's Music
51,The Hit Crew Kids,Nobody Loves A Pirate,4TBBPZks71c60whhq0PgdP,1,0.0412,0.477,96200.0,0.424,0.0,A,0.126,-9.619,Major,0.0523,172.631,4-Apr,0.208,Children's Music
52,Fuel,Hemorrhage (In My Hands),2IGr3q6ljcpLvHDFLtI0yW,61,0.000142,0.315,237347.0,0.829,0.00077,C#,0.217,-4.117,Major,0.0422,152.135,4-Apr,0.34,Children's Music
53,Ryan Stevenson,Eye of the Storm (feat. Gabe Real),6voi5xnLs9JKmWG2oLmgDU,58,0.196,0.305,199181.0591612581,0.726,0.0,A,0.464,-6.375,Major,0.061,82.673,4-Apr,0.554,Children's Music
54,Gin Blossoms,Hey Jealousy,3aZXqmXuF0lSmhV3AliJMc,61,0.00117,0.464,236067.0,0.785,1.46e-06,F#,0.328,-7.42,Minor,0.0436,153.005,4-Apr,0.528,Children's Music
55,Music For Little People Choir,Surfin' Safari,7LzMr2qWGN6w0zmqa8Zzom,3,0.811,0.595,223067.0,0.443,0.0,C,0.338,-11.699,Major,0.0842,160.064,4-Apr,0.936,Children's Music
56,empty_field,All I Want,21svHgL8NlWthrlW9Gy0BZ,58,0.0558,0.6,199181.0591612581,0.811,6.82e-06,F,0.109,-7.693,Major,0.0788,124.303,4-Apr,0.622,Children's Music
57,empty_field,Port de bras: Slumber Song,5o5R70FLhegu7hpsTHAybE,1,0.995,0.567,103440.0,0.0992,0.957,D#,0.116,-14.024,Major,0.0984,136.837,3-Apr,0.648,Children's Music
58,Charlotte Day Wilson,Nothing New,3PMQZEHR5hqihgSDg5Mw2z,54,0.241,0.464,193985.0,0.347,0.0614,G,0.0977,-8.847,Minor,0.048,150.028,4-Apr,0.556,Children's Music
