instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
1,Bedouin,Wastelands - Original Mix,0drTByxQx8aMHzotZG3LDS,33,0.0021,0.807,475545.0,0.538,0.884,E,0.0627,-13.241,Minor,0.0615,117.998,4-Apr,0.203,Electronic
2,Little Dragon,In My House,4T9Jpft8jvZAP57aE3VdCt,45,0.189,0.88,356834.0,0.359,0.0631,C,0.128,-12.458,Major,0.0666,118.006,4-Apr,0.281,Electronic
3,Bassnectar,Whiplash (feat. Reeps One),0YKvEXArXE4GeGzqCsaifN,50,0.00549,0.739,289286.0,0.909,4.7e-05,C#,0.0782,-2.942,Major,0.355,?,4-Apr,0.35,Electronic
4,empty_field,Meet You At Tower Records,5YF9LcLUnzyiiPul1DyZwa,34,0.0565,0.587,317647.0,0.556,0.551,D,0.114,-10.504,Major,0.0664,?,4-Apr,0.268,Electronic
5,Yael Meyer,The Hunt,7amv42nfF6VsxW1S999wtZ,27,0.279,0.431,227370.0,0.537,0.895,G#,0.12,-8.978,Major,0.0329,129.874,4-Apr,0.0563,Electronic
6,Mo' Horizons,Yes Baby Yes,1yhyrOuZOURI1ynOZVkoWH,55,0.283,0.683,300693.0,0.673,0.422,D,0.152,-9.593,Major,0.0365,?,4-Apr,0.81,Electronic
7,empty_field,Breathe (Zeds Dead Remix),0TS5ZQrfnhhLS7BQCwhliy,43,0.175,0.672,276387.0,0.989,0.596,D#,0.284,-2.425,Minor,0.164,125.998,4-Apr,0.156,Electronic
8,DROELOE,Step By Step - Fytch Remix,7i5NbxA7ONWkmjtW2kXdQP,34,0.0149,0.443,268053.7113117632,0.833,0.451,B,0.187,-5.599,Minor,0.109,?,4-Apr,0.204,Electronic
9,Stooki Sound,Uppers,2q1LwxkM3q9L96cPrykyzd,39,0.00842,0.787,217538.0,0.782,0.911,G#,0.117,-8.936,Minor,0.44,129.979,4-Apr,0.503,Electronic
10,empty_field,Lost Lands 2017 Mix,4cbEOjvilRMDX0YML5YPWi,41,0.00164,0.467,4830606.0,0.948,0.0103,C#,0.405,-1.929,Major,0.299,148.898,4-Apr,0.317,Electronic
11,Doctor P,Going Gorillas,78J9MBkAoqfvyeEpQKJDzD,32,0.00264,0.528,268053.7113117632,0.94,0.509,A#,0.686,-1.895,Minor,0.0453,?,4-Apr,0.0913,Electronic
12,empty_field,Bang Bang 99,0LppLsxXXDBTqihx84BJGo,51,0.292,0.61,176466.0,0.808,0.0261,C,0.352,-8.04,Major,0.175,128.013,4-Apr,0.208,Electronic
13,Fun Lovin' Criminals,Scooby Snacks,4Qk4s7HmcwGRb077Zw33bX,53,0.0139,0.76,184000.0,0.577,0.0306,D,0.0745,-7.899,Major,0.0339,104.61,4-Apr,0.293,Electronic
14,GusGus,Believe,1F1XjwRzMh8KT2BvH6ISkG,32,0.132,0.824,438173.0,0.764,0.954,D,0.221,-9.545,Major,0.097,114.04,4-Apr,0.559,Electronic
15,What So Not,Lone - Ribongia Remix,4mjYwSNWqdgLG12JjAv6JS,41,0.0194,0.595,274324.0,0.608,0.0173,C,0.0971,-9.943,Minor,0.18,?,4-Apr,0.22,Electronic
16,Ganja White Night,Wild Vine (feat. Grimblee),1siTenrgoETM9j4ocVDFHG,26,0.0142,0.835,323294.0,0.825,0.833,B,0.289,-8.964,Minor,0.123,139.99,4-Apr,0.708,Electronic
17,Justice,Phantom Part 2 - Live Version,1rOlTL4pKQ9Y1fURua4AJR,32,0.0265,0.441,268053.7113117632,0.994,0.872,C,0.978,-3.131,Major,0.303,130.019,4-Apr,0.0632,Electronic
18,A-Trak,Zamboni,23rVUqzg08U3QcRqyPGkFa,24,0.000535,0.792,313920.0,0.952,0.155,F#,0.689,-4.054,Major,0.0566,125.009,4-Apr,0.289,Electronic
19,The Crystal Method,Smile?,3zBWN2RILlV8RshkKvQsW8,33,0.0901,0.523,335787.0,0.943,0.927,C#,0.361,-7.122,Major,0.036,120.024,4-Apr,0.79,Electronic
20,empty_field,Overcome,0CkSF2TAqIu8TJaVwwAOnT,49,0.405,0.819,270093.0,0.61,0.819,D,0.0965,-13.056,Major,0.232,82.281,4-Apr,0.715,Electronic
21,Christian Löffler,Myiami,7jKUnzzOGhAlPjr7LkIUlE,42,0.0841,0.653,278614.0,0.192,0.93,D#,0.109,-20.888,Minor,0.046,120.033,4-Apr,0.15,Electronic
22,empty_field,Battleflag - Radio Edit,7xjukdodRi2UufT4OFfjW2,33,0.0176,0.667,240467.0,0.93,1.05e-06,G,0.0466,-8.56,Major,0.106,100.462,4-Apr,0.314,Electronic
23,Primal Scream,Loaded,4zeFf85Wq7g2E4adc9qKrv,38,8.5e-05,0.622,422600.0,0.54,0.629,G#,0.84,-14.741,Major,0.0545,91.139,4-Apr,0.87,Electronic
24,Tomsize,Loving You,7tzPaTQaFqhVEb1PA7ZuBf,38,0.05,0.589,247500.0,0.878,0.0,E,0.0878,-1.846,Minor,0.107,79.907,4-Apr,0.324,Electronic
25,Sneaker Pimps,The Chauffeur,651OQ0BvpEjLurWkcWdMCR,35,0.0899,0.548,268053.7113117632,0.521,0.59,D,0.112,-8.35,Minor,0.0272,126.459,4-Apr,0.197,Electronic
26,Portishead,Requiem For Anna,1Kjrqnu7heDFKBxYsMP71G,28,0.0936,0.724,159413.0,0.613,0.798,F#,0.113,-5.797,Major,0.0421,100.616,4-Apr,0.614,Electronic
27,Stereolab,Miss Modular,0lsw4q8Jei7gEoV7kFe3DS,47,0.039,0.764,269360.0,0.532,0.69,F#,0.101,-10.516,Minor,0.0398,112.745,4-Apr,0.825,Electronic
28,Cocteau Twins,I Wear Your Ring,5INJb046uBsRZNJMGAywKZ,44,0.123,0.452,209347.0,0.844,0.00143,D,0.145,-5.515,Minor,0.0293,140.027,4-Apr,0.578,Electronic
29,Éric Serra,Lucia di lammermoor,6HmWy7ttkeZGG2KEtt8AqX,37,0.985,0.217,190040.0,0.138,0.0374,G#,0.112,-17.724,Major,0.0489,169.75,5-Apr,0.0762,Electronic
30,empty_field,Low Five,2bX3Cb6QE8OetYBwJKnd0o,25,0.000946,0.442,275760.0,0.868,0.000137,D#,0.37,-6.917,Major,0.0471,147.256,4-Apr,0.467,Electronic
