instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
1,Toro y Moi,Omaha,6n7gBJAXX8YyFfant646jv,57,0.0645,0.618,196791.0,0.498,0.0301,D#,0.291,-8.29,Major,0.0259,80.055,4-Apr,0.818,Folk
2,Michelle Branch,Everywhere,4hVGamTpzn37mobiFkhvFC,66,0.0136,0.523,214827.0,0.828,0.000255,C#,0.165,-4.696,Major,0.0762,96.952,4-Apr,0.476,Folk
3,empty_field,Take Good Care Of My Baby - 1990 Remastered,5Iyy6SFKa23deSTyFwNeLI,64,0.698,0.491,150867.0,0.431,0.0,C#,0.124,-12.257,Major,0.0609,82.443,4-Apr,0.661,Folk
4,"10,000 Maniacs",Because The Night [MTV Unplugged Version],42T2QQv3xgBlpQxaSP7lnK,64,0.26,0.408,234994.38041002277,0.79,0.00027,B,0.765,-8.138,Minor,0.103,122.624,4-Apr,0.347,Folk
5,Of Monsters and Men,I Of The Storm,484FyZpfI996XCNCg1a0VV,54,0.15,0.381,276467.0,0.446,0.0196,D,0.15,-9.813,Major,0.0325,176.394,4-Apr,0.133,Folk
6,Rainbow Kitten Surprise,Mission to Mars,3VhAS0ferVrcN4ANKnGCmM,54,0.623,0.691,154213.0,0.482,0.00671,G,0.208,-10.954,Major,0.201,160.072,4-Apr,0.433,Folk
7,Alanis Morissette,Uninvited,5JOojkgB7u8aGITvurei28,57,0.0223,0.38,234994.38041002277,0.538,0.00487,D,0.094,-5.493,Major,0.0313,?,4-Apr,0.193,Folk
8,Florence + The Machine,Never Let Me Go,6E0cMFOToYiZ73aSao2T7I,57,0.287,0.47,271013.0,0.742,2.57e-06,A,0.381,-3.243,Major,0.0383,144.76,4-Apr,0.253,Folk
9,empty_field,Dancing in the Dark,29YDZUNKvBI2I64TvLj1Wt,65,0.903,0.463,234994.38041002277,0.153,1.23e-05,D,0.152,-14.082,Major,0.0385,73.506,4-Apr,0.254,Folk
10,Ben Howard,To Be Alone,4n0YlirzrrK41tWdJvgI1V,46,0.507,0.275,234994.38041002277,0.452,0.423,E,0.138,-12.548,Minor,0.0411,144.125,4-Apr,0.216,Folk
11,isaac gracie,love (aint always so good),0Z7cJizY93V2SGCpNKYV2j,56,0.93,0.535,234994.38041002277,0.0609,0.000144,B,0.106,-17.805,Major,0.0542,?,3-Apr,0.172,Folk
12,Bahamas,Waves,1tPj5PrMvLL3EEmzHIhNMU,49,0.531,0.552,234994.38041002277,0.529,8.87e-05,C#,0.134,-7.415,Major,0.0279,94.683,4-Apr,0.293,Folk
13,The Shins,Know Your Onion!,3zb9MhXXqOdWF0joH7bUPK,46,0.53,0.487,234994.38041002277,0.614,7.2e-05,E,0.143,-6.771,Major,0.0569,137.406,4-Apr,0.61,Folk
14,The Troggs,Wild Thing,4tK4ARuilOrBzwVQK73E0Y,51,0.741,0.458,234994.38041002277,0.853,0.0215,A,0.0851,-8.575,Major,0.139,202.509,4-Apr,0.671,Folk
15,Darlingside,Singularity,1xvkcmUNDoNpuI9JSyUc4Z,47,0.616,0.437,234994.38041002277,0.336,0.0428,D,0.286,-9.756,Major,0.0298,129.974,4-Apr,0.178,Folk
16,empty_field,Your New Twin Sized Bed,2wPFy7SAFnt9Nj2TipWcqb,47,0.301,0.576,186307.0,0.595,0.0525,D#,0.0665,-9.54,Major,0.0289,85.087,4-Apr,0.659,Folk
17,(Sandy) Alex G,Salt,5mw3voQCXirCMuiaiR5o2h,42,0.644,0.715,279678.0,0.523,0.185,E,0.222,-9.647,Major,0.0268,137.045,4-Apr,0.33,Folk
18,empty_field,Up Where We Belong,6dsq7Nt5mIFzvm5kIYNORy,49,0.597,0.573,233240.0,0.429,8.18e-05,D,0.0839,-8.68,Major,0.0294,139.097,4-Apr,0.361,Folk
19,Andrew Belle,I Won't Fight It,66uVqkmHAc0MBUzoPhIypN,50,0.533,0.288,331126.0,0.508,0.626,E,0.0909,-8.663,Major,0.0367,155.921,4-Apr,0.0382,Folk
20,Axel Flovent,Forest Fires,6FhYdu1eAu5QNhSsH5MYGk,61,0.698,0.623,210925.0,0.292,9.86e-06,G,0.121,-12.26,Minor,0.0313,118.007,4-Apr,0.161,Folk
21,T. Rex,Jeepster - Remastered,5F9jaKjBTPTOT4VanVoKXe,42,0.0491,0.565,252440.0,0.761,0.00322,B,0.0442,-9.88,Minor,0.0487,94.893,4-Apr,0.925,Folk
22,Brandi Carlile,Keep Your Heart Young,6PKOIjshjkisjZGhKJ68cD,44,0.223,0.479,200040.0,0.502,0.0,F#,0.0799,-5.164,Major,0.0519,176.49,4-Apr,0.578,Folk
23,Norah Jones,Seven Years,1X4l4i472kW5ofFP8Xo0x0,61,0.959,0.584,145267.0,0.185,0.0072,G,0.105,-13.986,Major,0.035,127.151,4-Apr,0.376,Folk
24,Eric Hutchinson,Dear Me - Less is More Mix,0Dq9mVpQjKXWWARmfNFtt4,46,0.234,0.659,232160.0,0.538,0.0,A,0.101,-5.766,Major,0.0359,89.941,4-Apr,0.576,Folk
25,Greg Brown,Hey Baby Hey,1ixFklfbJH3jOLgjGEbjIa,42,0.867,0.528,208733.0,0.233,0.000641,G,0.106,-17.264,Major,0.0334,92.367,4-Apr,0.362,Folk
26,Amigo the Devil,Perfect Wife,17UvqEUnFxX3jyLAqiIsCw,45,0.311,0.589,259893.0,0.667,0.0345,A,0.0834,-7.341,Minor,0.0319,101.28,4-Apr,0.404,Folk
27,Corey Harper,Wild Nights (Acoustic),6xKWNl6MYJnREdwrABtZfg,43,0.874,0.559,229522.0,0.2,0.0,B,0.141,-9.897,Major,0.0379,129.565,4-Apr,0.329,Folk
28,Dido,Give You Up,71AATBHZGo82EnjZnG53Zx,61,0.663,0.646,201533.0,0.431,0.0,F,0.117,-6.759,Major,0.0477,133.841,4-Apr,0.13,Folk
29,Matt Nathanson,Still,2kzGJLQ9e2lS2NqIajgbG9,43,0.0269,0.578,231600.0,0.459,0.0,F,0.132,-6.487,Major,0.027,172.163,4-Apr,0.381,Folk
30,empty_field,Road Head,3mcmzte3lu8MO6714q9wb5,60,0.0978,0.54,195107.0,0.674,0.156,E,0.147,-8.734,Major,0.0296,95.036,4-Apr,0.165,Folk
31,"Crosby, Stills, Nash & Young",Cowgirl In The Sand - Live,35Ki1lvKPC2sFBD3GmKdRG,43,0.809,0.459,238707.0,0.217,0.000439,G,0.749,-14.869,Minor,0.0424,141.036,4-Apr,0.205,Folk
32,Bear's Den,Elysium,283LAlCpfArRZOXPfkOQj0,40,0.0627,0.304,206160.0,0.426,0.163,G,0.106,-9.739,Major,0.0331,138.258,4-Apr,0.115,Folk
33,Ricky Nelson,Travelin' Man - Remastered,0nNHMuvDnSwtfS1FVzTCcl,58,0.669,0.741,142933.0,0.363,0.0,D,0.117,-12.484,Major,0.0335,123.263,4-Apr,0.859,Folk
34,empty_field,Peace Like a River,2746pcTPaE9FBHkvUivCsg,42,0.791,0.6,177400.0,0.102,0.0,C,0.198,-15.569,Major,0.0399,?,4-Apr,0.364,Folk
35,Little Feat,Spanish Moon,6WKDUxaOXd9ldOKogfhi5u,48,0.421,0.575,186267.0,0.415,0.614,B,0.0566,-15.678,Major,0.0828,89.846,4-Apr,0.738,Folk
36,Loggins & Messina,Angry Eyes,4TsmezEQVSZNNPv5RJ65Ov,40,0.033,0.564,460312.0,0.634,0.108,C,0.102,-10.204,Major,0.0346,158.908,4-Apr,0.838,Folk
37,The Avett Brothers,Bella Donna,5Rv2Qybimpsp9hzFnMQBYN,43,0.916,0.464,234994.38041002277,0.129,0.00151,A,0.254,-15.068,Major,0.0336,73.832,4-Apr,0.2,Folk
38,HAIM,That Don't Impress Me Much - triple j Like A Version,71EdUh8dE27ufo78UKB5Ti,47,0.726,0.755,244027.0,0.361,3.4e-06,C,0.107,-8.742,Major,0.0526,124.848,4-Apr,0.458,Folk
39,Brandi Carlile,Dying Day,3e9L9HiHKcfYLAga28Vmcf,41,0.0714,0.567,211600.0,0.665,0.0,B,0.177,-4.465,Minor,0.0256,97.815,4-Apr,0.598,Folk
40,Mandolin Orange,Lonely All the Time,1Avgbf1perJ6DuI1wO9Hhg,50,0.752,0.708,187347.0,0.341,0.000105,A,0.33,-11.362,Major,0.0366,117.453,4-Apr,0.679,Folk
41,Paul Simon,All Around the World or the Myth of Fingerprints (with Los Lobos),280d4ALGMb5EWByYjF7IsR,46,0.248,0.595,197533.0,0.673,2.06e-05,C,0.0425,-8.227,Major,0.0803,178.853,4-Apr,0.879,Folk
42,The Sundays,Wild Horses,41aiYUSiRJW9TeEdObJMEz,50,0.871,0.419,234994.38041002277,0.283,0.00571,G,0.095,-13.065,Major,0.0292,149.974,4-Apr,0.194,Folk
43,Townes Van Zandt,All I Need,1ppuHX1oVMku5LTL0swNZP,50,0.714,0.368,170347.0,0.36,0.00445,E,0.273,-8.724,Major,0.0301,?,4-Apr,0.41,Folk
