instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
1,Roy Dotrice,Beauty And The Beast - Storyteller,7sFwTm0MwH6UqTWlZeSOxG,28,0.829,0.595,2640800.0,0.298,0.0,C,0.138,-19.861,Major,0.809,122.755,4-Apr,0.577,Movie
2,Alan Menken,"Main Theme (From ""Beauty and the Beast"")",66TSoVnJ1P9Tyok03zUlTr,33,0.994,0.447,196067.0,0.0516,0.876,A#,0.156,-23.563,Major,0.0558,74.411,4-Apr,0.0897,Movie
3,Liz Callaway,Nothing to Lose (But Your Heart),74SrtVOlu7p5QPCUGIt5J7,8,0.841,0.391,207089.221185372,0.328,0.0,D,0.0973,-8.316,Major,0.0291,139.429,3-Apr,0.225,Movie
4,empty_field,"Spring Will Be a Little Late This Year (From ""Christmas Holiday"") [feat. Alex Rybeck]",0htkAULz76m0k5mdMomzOa,2,0.962,0.356,220360.0,0.0804,1.63e-05,B,0.093,-20.248,Major,0.0395,100.701,5-Apr,0.0678,Movie
5,Oliver Wallace,"You Poor Kid/He's Not My Dog - From ""Lady and the Tramp""/Score",4ZYrhX7uLX329WNN4R49pS,19,0.975,0.532,83600.0,0.0625,0.705,A,0.147,-15.981,Minor,0.0637,117.869,4-Apr,0.554,Movie
6,Henri Salvador,Tout Est Tranquille Sch... Sch...,7rVp7JknHf1lmd7ay6n0RR,0,0.858,0.507,207107.0,0.144,9.09e-06,G,0.915,-13.994,Major,0.292,172.322,3-Apr,0.564,Movie
7,Burke Moses,Me,6tP33R6sgXvzpfEZqfPWaz,35,0.817,0.656,168960.0,0.227,0.0,A,0.283,-17.03,Major,0.183,82.391,4-Apr,0.553,Movie
8,Dick Van Dyke,Wives And Lovers,6Uaz0UV4y7EPdviYUDWwlu,4,0.786,0.396,148994.0,0.367,0.0,C#,0.216,-13.132,Major,0.0505,136.509,3-Apr,0.657,Movie
9,empty_field,"Ordinaire (Tiré du film ""Gabrielle"")",7dxdPa9J9FtZVTrUZFPzYD,10,0.907,0.354,296973.0,0.214,0.000224,D,0.0744,-13.139,Minor,0.0354,78.072,1-Apr,0.108,Movie
10,LaChanze,Last Dance,5kyyWMNV3ZduqlQ4ErLWnI,25,0.177,0.435,183107.0,0.801,0.0,D#,0.18,-5.991,Major,0.0655,?,4-Apr,0.0399,Movie
11,empty_field,Noël des petits santons,3LgtCt7CVhMvNSMGoQD9i1,0,0.923,0.401,133560.0,0.294,0.0,D,0.0945,-9.319,Major,0.0376,?,4-Apr,0.332,Movie
12,Scatman Crothers,Ev'rybody Wants to Be a Cat - Original Soundtrack Version,5jlQeAFtBboI7ZjCzRhvZT,27,0.824,0.569,367653.0,0.336,0.000442,F,0.328,-12.328,Minor,0.0746,120.127,4-Apr,0.669,Movie
13,Rowan Atkinson,Divorce Service,59XR99m4eEQQZ7d2hcTogz,13,0.87,0.619,214200.0,0.492,0.0,F,0.963,-16.736,Minor,0.942,86.271,5-Apr,0.34,Movie
14,Leopold Stokowski,"Chorale, From Easter Oratorio, BWV 249",4qqZt0UHKE7SEWyk34gtyk,5,0.892,0.105,262000.0,0.257,0.907,E,0.177,-14.433,Minor,0.0371,86.198,4-Apr,0.0815,Movie
15,Riders In The Sky,Virgen Maria (Why Are You Weeping?),2L6fYOGi2YAwTI0pmGorc7,1,0.78,0.32,353427.0,0.148,1.07e-05,A,0.302,-16.007,Major,0.0292,?,4-Apr,0.159,Movie
