instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
1,empty_field,Hey Girl,3oYIm3GyXki3zEX6It90Wi,28,0.00109,0.629,73440.0,0.915,0.00103,D,0.158,-5.342,Major,0.0387,?,4-Apr,0.779,Ska
2,empty_field,Say It Ain't So,6q9sHZxvSeSAcGZi1LbGCZ,21,0.00107,0.446,209500.0,0.862,0.0347,G#,0.121,-6.447,Major,0.0804,179.863,4-Apr,0.335,Ska
3,empty_field,Failed State,0AMg7Zy6l3JJ2kj1Q4L5JW,16,0.000267,0.224,146813.0,0.968,0.000311,D,0.22,-3.617,Major,0.153,164.445,4-Apr,0.483,Ska
4,Soda Stereo,Crema De Estrellas - Remasterizado 2007,0LPx8WfsRrXCF92YtINFtN,50,0.2,0.531,277120.0,0.372,0.00159,D#,0.345,-11.834,Major,0.0254,137.46,4-Apr,0.0874,Ska
5,Inspector,Ska Voovee Boobie Baby,6AKYhRh9Oz1nzscR5kZS7T,43,0.315,0.648,203867.0,0.928,0.0,F,0.127,-2.857,Major,0.0402,169.963,4-Apr,0.968,Ska
6,empty_field,Tulips and Heather,1qEHgdFqUxFebMPk8s2HLY,21,0.84,0.745,191588.01073389917,0.296,9.33e-05,D#,0.171,-10.788,Major,0.0396,101.383,4-Apr,0.961,Ska
7,Propagandhi,Head? Chest? Or Foot?,58S5c15bTPMKVkYKWVN5AJ,31,0.00429,0.492,124427.0,0.967,0.000688,A,0.184,-4.796,Major,0.0625,100.678,4-Apr,0.741,Ska
8,Raskahuele,Persistes,0L7UIBLY8mhyWn4En6TOhH,14,0.0148,0.563,211068.0,0.787,0.0352,D,0.0943,-5.844,Minor,0.0436,163.718,4-Apr,0.796,Ska
9,Lagwagon,Stokin' the Neighbors,7fXSpSWwbaFd0gPdjWF2Ef,36,0.000218,0.447,187133.0,0.915,0.0,E,0.0808,-4.301,Minor,0.125,102.224,4-Apr,0.606,Ska
10,Reel Big Fish,F*ck Yourself,0TbP1ASV5mBpwpME75LWRA,16,0.0103,0.38,165000.0,0.725,0.000305,A,0.205,-7.719,Major,0.0363,?,4-Apr,0.882,Ska
11,Propagandhi,Cut into the Earth,606JbIvqcNRXaEK3MLIcTf,26,0.0027,0.318,221693.0,0.864,6.84e-06,C,0.122,-6.003,Minor,0.0543,96.914,4-Apr,0.38,Ska
12,The Ethiopians,Writing on the Wall,0c9DOQSLK0SJiNmmbntRp7,25,0.28,0.856,155500.0,0.654,0.0364,F#,0.0718,-9.707,Major,0.0501,115.688,4-Apr,0.937,Ska
13,Against Me!,The Mover,5HhWCGwcnWJd2QTnOZ0xaP,19,8.12e-05,0.297,191588.01073389917,0.967,5.03e-05,C,0.0752,-3.746,Major,0.133,171.846,4-Apr,0.55,Ska
14,Lagwagon,Poison in the Well,4N98sfqOlMlP1iO7kuW0t9,35,0.000425,0.462,153440.0,0.913,0.000174,C#,0.278,-4.733,Minor,0.0293,93.828,4-Apr,0.871,Ska
15,The Suicide Machines,The Killing Blow,2OnTluP3yNVsFXTkbuQ8VH,15,0.0193,0.477,184213.0,0.946,0.0,C#,0.314,-3.604,Major,0.0557,140.112,4-Apr,0.439,Ska
16,Teenage Bottlerocket,Crashing,5GsMJInonlNJWpYEqrmGRQ,21,0.0111,0.42,83613.0,0.935,0.00316,C,0.285,-5.686,Major,0.169,187.821,4-Apr,0.481,Ska
17,Face To Face,Don't Change,1IoqpxqBR4FzKCvid8virg,20,1.53e-05,0.266,191588.01073389917,0.959,0.00347,A,0.0879,-5.403,Major,0.0809,?,4-Apr,0.0888,Ska
18,empty_field,I Am Free,59QmjU5K8XQTfj9JjFNb4Z,16,0.609,0.691,191588.01073389917,0.429,0.203,A#,0.23,-13.509,Major,0.0611,86.634,4-Apr,0.78,Ska
19,The Slackers,The Sermon,2qEC86CgeqZKCruoLOEAGH,14,0.594,0.419,151053.0,0.321,0.0,C,0.658,-9.539,Major,0.0742,93.817,1-Apr,0.418,Ska
20,empty_field,NC,2gz3Sle82546sChLc7aMHL,23,0.000157,0.449,58933.0,0.995,0.504,C#,0.366,-4.61,Minor,0.199,109.335,4-Apr,0.0365,Ska
21,Tokyo Ska Paradise Orchestra,The Ring,3q4Ua58dcrBfPu3p3J24qX,17,0.0845,0.757,304747.0,0.68,0.237,A,0.065,-8.812,Minor,0.0369,108.037,4-Apr,0.7,Ska
22,Against Me!,I Still Love You Julie,026ltHJFIkssDPbXbfgOcS,36,0.0119,0.421,192773.0,0.876,0.00165,D,0.111,-6.669,Major,0.0563,151.706,4-Apr,0.884,Ska
23,Buck-O-Nine,Wrong Em Boyo,2HwQ05390hwhpYTDK6gK4v,13,0.00986,0.53,154000.0,0.545,0.000221,G,0.0464,-12.161,Major,0.038,148.87,4-Apr,0.965,Ska
24,Chewing on Tinfoil,Sons & Mothers,4jtIRaEzERJyksw8YJPdml,21,0.0224,0.467,244280.0,0.728,2.31e-06,A,0.395,-4.594,Minor,0.0488,144.908,4-Apr,0.664,Ska
25,The Slackers,Don't You Want a Man,69XEXAbJTZwFfVz7ayfg3I,17,0.0743,0.466,210400.0,0.603,3.7e-05,C,0.086,-6.391,Minor,0.0516,178.898,4-Apr,0.88,Ska
26,Tsunami Bomb,No One's Looking,1KRQpyjO3B86ZWSKS9Cgnf,21,0.000234,0.598,191588.01073389917,0.84,8.17e-06,C#,0.272,-6.438,Major,0.0391,138.051,4-Apr,0.852,Ska
