popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre,time_signature_encoded,key_encoded,mode_encoded
43,0.225,0.845,238680,0.746,8.8e-05,0.0785,-5.655,0.0383,129.97,0.961,Alternative,2,8,1
47,0.665,0.862,166154,0.342,8.19e-05,0.102,-10.095,0.0551,129.992,0.177,Alternative,2,1,1
48,0.238,0.59,219400,0.517,0.0,0.182,-9.239,0.0312,80.883,0.566,Alternative,2,0,0
57,0.184,0.894,217387,0.565,0.00668,0.224,-5.484,0.0788,96.987,0.686,Alternative,2,10,1
51,0.605,0.488,113270,0.381,0.0872,0.0776,-8.095,0.0498,140.941,0.217,Alternative,2,6,1
60,0.000328,0.525,199950,0.964,5.5e-06,0.0527,-3.451,0.0571,90.013,0.385,Alternative,2,8,1
59,0.192,0.772,218051,0.551,0.00175,0.108,-8.667,0.099,104.969,0.635,Alternative,2,3,0
47,0.166,0.767,247395,0.682,0.00176,0.141,-8.29,0.0528,111.609,0.622,Alternative,2,1,1
39,0.00645,0.375,311880,0.952,2.21e-06,0.665,-6.164,0.209,166.891,0.321,Alternative,2,2,1
43,0.000171,0.569,178671,0.871,1.42e-05,0.325,-2.625,0.0423,100.088,0.428,Alternative,2,8,0
60,0.00244,0.681,281933,0.918,0.000535,0.119,-4.83,0.0508,105.031,0.551,Alternative,2,0,1
57,0.0154,0.619,299440,0.584,2.47e-05,0.0873,-10.742,0.0255,107.28,0.577,Alternative,2,11,0
36,0.917,0.563,232800,0.152,0.000171,0.139,-18.381,0.05,121.09,0.223,Alternative,1,5,0
55,0.107,0.692,291800,0.566,0.643,0.0862,-9.607,0.0312,97.062,0.626,Alternative,2,10,0
57,0.252,0.839,197360,0.658,0.0202,0.149,-5.515,0.045,147.005,0.818,Alternative,2,5,1
50,0.000456,0.3,259307,0.971,0.0,0.283,-3.118,0.142,184.536,0.336,Alternative,2,10,0
52,0.0682,0.454,240640,0.366,0.247,0.123,-8.98,0.0304,78.465,0.264,Alternative,2,5,1
51,0.69,0.632,220602,0.375,1.98e-05,0.128,-13.582,0.0422,133.009,0.342,Alternative,2,11,0
7,0.19,0.715,26717,0.741,0.0,0.213,-3.962,0.538,124.641,0.774,Alternative,0,9,0
43,0.0303,0.411,240960,0.95,0.0,0.0423,-3.051,0.114,179.997,0.423,Alternative,2,10,0
51,0.602,0.553,227152,0.623,0.0,0.0893,-6.546,0.0393,135.84,0.127,Alternative,2,4,1
45,0.123,0.515,232173,0.898,0.38,0.199,-6.682,0.0291,113.983,0.778,Alternative,2,11,0
54,0.451,0.858,100347,0.458,4.32e-06,0.108,-8.492,0.121,133.965,0.242,Alternative,2,9,1
66,0.0673,0.694,200801,0.665,0.000187,0.117,-7.626,0.266,115.068,0.378,Alternative,2,5,0
49,0.00915,0.667,265733,0.721,0.0137,0.105,-7.17,0.0329,110.094,0.567,Alternative,2,10,0
48,0.406,0.605,257427,0.244,0.00234,0.0912,-10.984,0.0256,79.091,0.242,Alternative,2,2,0
49,0.286,0.796,216721,0.463,0.137,0.103,-9.842,0.0536,94.02,0.456,Alternative,2,2,1
45,0.00318,0.522,203147,0.971,8.69e-06,0.344,-3.079,0.0983,128.051,0.533,Alternative,2,10,0
52,0.829,0.434,137638,0.211,0.0,0.104,-9.371,0.0506,170.597,0.202,Alternative,2,1,0
52,0.00309,0.493,222861,0.742,0.000286,0.185,-7.452,0.0823,94.024,0.182,Alternative,2,4,0
62,0.0174,0.552,245787,0.935,1.98e-06,0.116,-4.096,0.0623,74.954,0.38,Alternative,2,3,0
59,2.42e-05,0.577,172667,0.94,0.0715,0.347,-4.439,0.0361,116.045,0.818,Alternative,2,9,1
