instance_id,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
3,Counting Crows,Omaha,50o13VmOJiUj3WfU7XmEAn,48,0.238,0.59,219400,0.517,0.0,A,0.182,-9.239,Major,0.0312,80.883,4-Apr,0.566,Alternative
4,Bullet For My Valentine,Over It,5BRGRuHRfvGgoIvZg3PE3x,60,7.69e-05,0.374,-1,0.971,0.0,B,0.322,-4.284,Minor,0.0697,97.625,4-Apr,0.701,Alternative
5,Shinedown,Asking For It,0BpgI6YcYv3ENGLp7XJsAH,58,0.00273,0.449,-1,0.971,0.0,A#,0.141,-3.66,Major,0.0476,144.031,4-Apr,0.414,Alternative
6,Halestorm,Do Not Disturb,13PqmoiHO8rzblmaNFHY4g,53,0.014,0.696,-1,0.821,0.0,D,0.0421,-2.981,Minor,0.0483,127.006,4-Apr,0.604,Alternative
26,empty_field,The Last Fight,22KINWTfu5fLjGRONbDjmx,50,0.000456,0.3,259307,0.971,0.0,G,0.283,-3.118,Major,0.142,184.536,4-Apr,0.336,Alternative
27,ELHAE,Still Mine (feat. Wale),5Ihd9HrPvOADyVoonH9ZjB,51,0.337,0.568,-1,0.501,0.0,C#,0.105,-11.034,Minor,0.199,104.148,4-Apr,0.281,Alternative
31,Big K.R.I.T.,"""Blue Flame"" (Interlude)",150zGw0P2EJccYJKnFIler,7,0.19,0.715,26717,0.741,0.0,F#,0.213,-3.962,Major,0.538,124.641,1-Apr,0.774,Alternative
34,empty_field,Spin You Around,6iZNsKs1tOJyKlYzBCpWfz,40,0.00791,0.478,-1,0.929,0.0,G#,0.0954,-2.999,Major,0.0433,92.022,4-Apr,0.521,Alternative
35,In This Moment,Beautiful Tragedy,5PtEpuVX03k9bOUwilL5EO,43,0.0303,0.411,240960,0.95,0.0,G,0.0423,-3.051,Major,0.114,179.997,4-Apr,0.423,Alternative
36,MARINA,Soft To Be Strong,6WYgtLflerJFYdpy4WUlWB,51,0.602,0.553,227152,0.623,0.0,C#,0.0893,-6.546,Minor,0.0393,135.84,4-Apr,0.127,Alternative
37,Elle Varner,Refill,5lzaDOKYowYGAqznzaBxyu,44,0.0415,0.425,240133,0.536,0.0,C,0.214,-4.063,Minor,0.0336,?,4-Apr,0.257,Alternative
44,Smino,SUMMER SALT (with Bari),3KLlLHrAQsDUryZc3fMx7P,47,0.278,0.62,-1,0.643,0.0,F#,0.156,-6.597,Minor,0.301,155.894,4-Apr,0.15,Alternative
